,順位,アウェイ,年度,節数
639,2,福岡,2017,第30
640,3,名古屋,2017,第30
641,4,徳島,2017,第30
642,5,長崎,2017,第30
643,6,東京Ｖ,2017,第30
644,7,横浜FC,2017,第30
645,8,松本,2017,第30
646,9,岡山,2017,第30
647,10,大分,2017,第30
648,11,水戸,2017,第30
649,12,千葉,2017,第30
650,13,山形,2017,第30
651,14,愛媛,2017,第30
652,15,町田,2017,第30
653,16,京都,2017,第30
654,17,岐阜,2017,第30
655,18,金沢,2017,第30
656,19,讃岐,2017,第30
657,20,熊本,2017,第30
658,21,山口,2017,第30
659,22,群馬,2017,第30
660,1,湘南,2017,第31
661,2,福岡,2017,第31
662,3,名古屋,2017,第31
663,4,長崎,2017,第31
664,5,徳島,2017,第31
665,6,東京Ｖ,2017,第31
666,7,松本,2017,第31
667,8,横浜FC,2017,第31
668,9,大分,2017,第31
669,10,岡山,2017,第31
670,11,水戸,2017,第31
671,12,千葉,2017,第31
672,13,山形,2017,第31
673,14,町田,2017,第31
674,15,愛媛,2017,第31
675,16,京都,2017,第31
676,17,岐阜,2017,第31
677,18,讃岐,2017,第31
678,19,金沢,2017,第31
679,20,熊本,2017,第31
680,21,山口,2017,第31
681,22,群馬,2017,第31
682,1,湘南,2017,第32
683,2,福岡,2017,第32
684,3,長崎,2017,第32
685,4,名古屋,2017,第32
686,5,松本,2017,第32
687,6,横浜FC,2017,第32
688,7,徳島,2017,第32
689,8,大分,2017,第32
690,9,東京Ｖ,2017,第32
691,10,岡山,2017,第32
692,11,水戸,2017,第32
693,12,山形,2017,第32
694,13,千葉,2017,第32
695,14,町田,2017,第32
696,15,愛媛,2017,第32
697,16,岐阜,2017,第32
698,17,京都,2017,第32
699,18,讃岐,2017,第32
700,19,金沢,2017,第32
701,20,熊本,2017,第32
702,21,山口,2017,第32
703,22,群馬,2017,第32
704,1,湘南,2017,第33
705,2,長崎,2017,第33
706,3,福岡,2017,第33
707,4,松本,2017,第33
708,5,横浜FC,2017,第33
709,6,名古屋,2017,第33
710,7,徳島,2017,第33
711,8,東京Ｖ,2017,第33
712,9,大分,2017,第33
713,10,岡山,2017,第33
714,11,千葉,2017,第33
715,12,山形,2017,第33
716,13,水戸,2017,第33
717,14,町田,2017,第33
718,15,岐阜,2017,第33
719,16,愛媛,2017,第33
720,17,京都,2017,第33
721,18,金沢,2017,第33
722,19,讃岐,2017,第33
723,20,熊本,2017,第33
724,21,山口,2017,第33
725,22,群馬,2017,第33
726,1,湘南,2017,第34
727,2,長崎,2017,第34
728,3,福岡,2017,第34
729,4,横浜FC,2017,第34
730,5,名古屋,2017,第34
731,6,松本,2017,第34
732,7,徳島,2017,第34
733,8,大分,2017,第34
734,9,東京Ｖ,2017,第34
735,10,岡山,2017,第34
736,11,水戸,2017,第34
737,12,千葉,2017,第34
738,13,山形,2017,第34
739,14,町田,2017,第34
740,15,岐阜,2017,第34
741,16,愛媛,2017,第34
742,17,京都,2017,第34
743,18,讃岐,2017,第34
744,19,金沢,2017,第34
745,20,熊本,2017,第34
746,21,山口,2017,第34
747,22,群馬,2017,第34
748,1,湘南,2017,第35
749,2,福岡,2017,第35
750,3,長崎,2017,第35
751,4,名古屋,2017,第35
752,5,松本,2017,第35
753,6,横浜FC,2017,第35
754,7,大分,2017,第35
755,8,徳島,2017,第35
756,9,東京Ｖ,2017,第35
757,10,岡山,2017,第35
758,11,水戸,2017,第35
759,12,千葉,2017,第35
760,13,山形,2017,第35
761,14,町田,2017,第35
762,15,岐阜,2017,第35
763,16,愛媛,2017,第35
764,17,京都,2017,第35
765,18,熊本,2017,第35
766,19,讃岐,2017,第35
767,20,金沢,2017,第35
768,21,山口,2017,第35
769,22,群馬,2017,第35
770,1,湘南,2017,第36
771,2,福岡,2017,第36
772,3,長崎,2017,第36
773,4,名古屋,2017,第36
774,5,松本,2017,第36
775,6,徳島,2017,第36
776,7,東京Ｖ,2017,第36
777,8,横浜FC,2017,第36
778,9,大分,2017,第36
779,10,千葉,2017,第36
780,11,岡山,2017,第36
781,12,水戸,2017,第36
782,13,山形,2017,第36
783,14,町田,2017,第36
784,15,京都,2017,第36
785,16,岐阜,2017,第36
786,17,愛媛,2017,第36
787,18,金沢,2017,第36
788,19,熊本,2017,第36
789,20,讃岐,2017,第36
790,21,山口,2017,第36
791,22,群馬,2017,第36
792,1,湘南,2017,第37
793,2,福岡,2017,第37
794,3,長崎,2017,第37
795,4,名古屋,2017,第37
796,5,松本,2017,第37
797,6,徳島,2017,第37
798,7,東京Ｖ,2017,第37
799,8,横浜FC,2017,第37
800,9,大分,2017,第37
801,10,千葉,2017,第37
802,11,水戸,2017,第37
803,12,山形,2017,第37
804,13,岡山,2017,第37
805,14,京都,2017,第37
806,15,町田,2017,第37
807,16,愛媛,2017,第37
808,17,岐阜,2017,第37
809,18,金沢,2017,第37
810,19,熊本,2017,第37
811,20,讃岐,2017,第37
812,21,山口,2017,第37
813,22,群馬,2017,第37
814,1,湘南,2017,第38
815,2,福岡,2017,第38
816,3,長崎,2017,第38
817,4,名古屋,2017,第38
818,5,東京Ｖ,2017,第38
819,6,徳島,2017,第38
820,7,松本,2017,第38
821,8,大分,2017,第38
822,9,横浜FC,2017,第38
823,10,千葉,2017,第38
824,11,岡山,2017,第38
825,12,水戸,2017,第38
826,13,山形,2017,第38
827,14,京都,2017,第38
828,15,町田,2017,第38
829,16,愛媛,2017,第38
830,17,岐阜,2017,第38
831,18,金沢,2017,第38
832,19,熊本,2017,第38
833,20,讃岐,2017,第38
834,21,山口,2017,第38
835,22,群馬,2017,第38
836,1,湘南,2017,第39
837,2,長崎,2017,第39
838,3,名古屋,2017,第39
839,4,福岡,2017,第39
840,5,松本,2017,第39
841,6,東京Ｖ,2017,第39
842,7,徳島,2017,第39
843,8,大分,2017,第39
844,9,横浜FC,2017,第39
845,10,千葉,2017,第39
846,11,水戸,2017,第39
847,12,岡山,2017,第39
848,13,山形,2017,第39
849,14,京都,2017,第39
850,15,町田,2017,第39
851,16,愛媛,2017,第39
852,17,岐阜,2017,第39
853,18,金沢,2017,第39
854,19,讃岐,2017,第39
855,20,熊本,2017,第39
856,21,山口,2017,第39
857,22,群馬,2017,第39
858,1,湘南,2017,第40
859,2,長崎,2017,第40
860,3,名古屋,2017,第40
861,4,福岡,2017,第40
862,5,松本,2017,第40
863,6,徳島,2017,第40
864,7,東京Ｖ,2017,第40
865,8,横浜FC,2017,第40
866,9,千葉,2017,第40
867,10,大分,2017,第40
868,11,水戸,2017,第40
869,12,岡山,2017,第40
870,13,山形,2017,第40
871,14,京都,2017,第40
872,15,町田,2017,第40
873,16,愛媛,2017,第40
874,17,岐阜,2017,第40
875,18,金沢,2017,第40
876,19,讃岐,2017,第40
877,20,熊本,2017,第40
878,21,山口,2017,第40
879,22,群馬,2017,第40
880,1,湘南,2017,第41
881,2,長崎,2017,第41
882,3,福岡,2017,第41
883,4,名古屋,2017,第41
884,5,徳島,2017,第41
885,6,東京Ｖ,2017,第41
886,7,松本,2017,第41
887,8,千葉,2017,第41
888,9,横浜FC,2017,第41
889,10,大分,2017,第41
890,11,山形,2017,第41
891,12,京都,2017,第41
892,13,水戸,2017,第41
893,14,岡山,2017,第41
894,15,愛媛,2017,第41
895,16,町田,2017,第41
896,17,岐阜,2017,第41
897,18,金沢,2017,第41
898,19,讃岐,2017,第41
899,20,山口,2017,第41
900,21,熊本,2017,第41
901,22,群馬,2017,第41
902,1,湘南,2017,第42
903,2,長崎,2017,第42
904,3,名古屋,2017,第42
905,4,福岡,2017,第42
906,5,東京Ｖ,2017,第42
907,6,千葉,2017,第42
908,7,徳島,2017,第42
909,8,松本,2017,第42
910,9,大分,2017,第42
911,10,横浜FC,2017,第42
912,11,山形,2017,第42
913,12,京都,2017,第42
914,13,岡山,2017,第42
915,14,水戸,2017,第42
916,15,愛媛,2017,第42
917,16,町田,2017,第42
918,17,金沢,2017,第42
919,18,岐阜,2017,第42
920,19,讃岐,2017,第42
921,20,山口,2017,第42
922,21,熊本,2017,第42
923,22,群馬,2017,第42
924,1,山口,2018,第1
925,2,水戸,2018,第1
926,3,大分,2018,第1
927,4,町田,2018,第1
928,4,福岡,2018,第1
929,6,大宮,2018,第1
930,6,東京Ｖ,2018,第1
931,6,金沢,2018,第1
932,9,新潟,2018,第1
933,9,岡山,2018,第1
934,11,横浜FC,2018,第1
935,11,松本,2018,第1
936,13,千葉,2018,第1
937,13,甲府,2018,第1
938,13,愛媛,2018,第1
939,16,讃岐,2018,第1
940,16,徳島,2018,第1
941,18,栃木,2018,第1
942,19,岐阜,2018,第1
943,19,京都,2018,第1
944,21,熊本,2018,第1
945,22,山形,2018,第1
946,1,山口,2018,第2
947,2,岡山,2018,第2
948,3,町田,2018,第2
949,4,水戸,2018,第2
950,5,大分,2018,第2
951,6,福岡,2018,第2
952,7,東京Ｖ,2018,第2
953,7,新潟,2018,第2
954,9,横浜FC,2018,第2
955,10,大宮,2018,第2
956,11,金沢,2018,第2
957,12,讃岐,2018,第2
958,13,熊本,2018,第2
959,14,松本,2018,第2
960,15,千葉,2018,第2
961,15,甲府,2018,第2
962,17,京都,2018,第2
963,18,山形,2018,第2
964,19,徳島,2018,第2
965,19,愛媛,2018,第2
966,21,岐阜,2018,第2
967,22,栃木,2018,第2
968,1,山口,2018,第3
969,2,岡山,2018,第3
970,3,水戸,2018,第3
971,4,横浜FC,2018,第3
972,5,町田,2018,第3
973,5,福岡,2018,第3
974,7,東京Ｖ,2018,第3
975,8,新潟,2018,第3
976,9,大分,2018,第3
977,10,山形,2018,第3
978,11,大宮,2018,第3
979,12,金沢,2018,第3
980,12,讃岐,2018,第3
